Datetime,SIC[%]
2020-01-01,41.3
2020-01-02,39.5
2020-01-03,38.2
2020-01-04,37.4
2020-01-05,35.7
2020-01-06,35.5
2020-01-07,34.1
2020-01-08,33.6
2020-01-09,32.9
2020-01-10,35.0
2020-01-11,30.8
2020-01-12,31.5
2020-01-13,34.6
2020-01-14,30.8
2020-01-15,33.1
2020-01-16,31.9
2020-01-17,30.5
2020-01-18,31.7
2020-01-19,29.0
2020-01-20,28.3
2020-01-21,29.2
2020-01-22,29.3
2020-01-23,28.4
2020-01-24,28.1
2020-01-25,27.7
2020-01-26,27.7
2020-01-27,27.2
2020-01-28,26.5
2020-01-29,26.6
2020-01-30,29.0
2020-01-31,25.5
2020-02-01,23.6
2020-02-02,24.5
2020-02-03,29.3
2020-02-04,31.2
2020-02-05,30.0
2020-02-06,33.9
2020-02-07,29.9
2020-02-08,36.0
2020-02-09,34.6
2020-02-10,25.0
2020-02-11,21.7
2020-02-12,29.1
2020-02-13,27.6
2020-02-14,25.2
2020-02-15,24.3
2020-02-16,26.5
2020-02-17,31.4
2020-02-18,29.3
2020-02-19,27.9
2020-02-20,34.5
2020-02-21,29.0
2020-02-22,27.5
2020-02-23,33.7
2020-02-24,28.0
2020-02-25,30.7
2020-02-26,28.9
2020-02-27,22.8
2020-02-28,22.1
2020-02-29,20.8
2020-03-01,21.0
2020-03-02,24.3
2020-03-03,26.0
2020-03-04,27.9
2020-03-05,25.8
2020-03-06,29.9
2020-03-07,24.8
2020-03-08,25.6
2020-03-09,22.4
2020-03-10,25.9
2020-03-11,27.1
2020-03-12,25.1
2020-03-13,21.0
2020-03-14,18.4
2020-03-15,18.6
2020-03-16,16.9
2020-03-17,38.2
2020-03-18,27.9
2020-03-19,35.1
2020-03-20,31.4
2020-03-21,31.0
2020-03-22,41.9
2020-03-23,65.6
2020-03-24,76.8
2020-03-25,64.0
2020-03-26,82.5
2020-03-27,83.6
2020-03-28,85.5
2020-03-29,82.7
2020-03-30,74.6
2020-03-31,74.7
2020-04-01,70.5
2020-04-02,53.6
2020-04-03,64.7
2020-04-04,49.9
2020-04-05,56.9
2020-04-06,54.5
2020-04-07,51.3
2020-04-08,65.3
2020-04-09,65.0
2020-04-10,51.8
2020-04-11,58.6
2020-04-12,64.8
2020-04-13,63.6
2020-04-14,69.5
2020-04-15,93.9
2020-04-16,91.6
2020-04-17,98.7
2020-04-18,93.9
2020-04-19,77.4
2020-04-20,89.0
2020-04-21,92.9
2020-04-22,90.8
2020-04-23,88.5
2020-04-24,93.8
2020-04-25,89.9
2020-04-26,94.8
2020-04-27,95.3
2020-04-28,97.1
2020-04-29,96.4
2020-04-30,94.0
2020-05-01,95.1
2020-05-02,96.0
2020-05-03,99.6
2020-05-04,98.4
2020-05-05,98.5
2020-05-06,100.0
2020-05-07,100.0
2020-05-08,98.1
2020-05-09,97.1
2020-05-10,98.1
2020-05-11,90.5
2020-05-12,93.7
2020-05-13,96.7
2020-05-14,94.1
2020-05-15,96.7
2020-05-16,97.3
2020-05-17,97.8
2020-05-18,97.5
2020-05-19,96.4
2020-05-20,94.5
2020-05-21,94.5
2020-05-22,97.0
2020-05-23,97.2
2020-05-24,98.6
2020-05-25,94.2
2020-05-26,86.5
2020-05-27,93.2
2020-05-28,94.1
2020-05-29,97.0
2020-05-30,96.9
2020-05-31,89.3
2020-06-01,87.9
2020-06-02,86.4
2020-06-03,87.4
2020-06-04,86.2
2020-06-05,89.4
2020-06-06,90.8
2020-06-07,90.2
2020-06-08,90.9
2020-06-09,91.3
2020-06-10,95.1
2020-06-11,98.0
2020-06-12,89.7
2020-06-13,93.3
2020-06-14,90.9
2020-06-15,92.2
2020-06-16,89.8
2020-06-17,94.2
2020-06-18,95.9
2020-06-19,95.9
2020-06-20,97.9
2020-06-21,97.4
2020-06-22,93.4
2020-06-23,86.0
2020-06-24,84.2
2020-06-25,88.0
2020-06-26,94.9
2020-06-27,94.4
2020-06-28,82.4
2020-06-29,87.0
2020-06-30,99.2
2020-07-01,94.2
2020-07-02,91.0
2020-07-03,94.7
2020-07-04,91.6
2020-07-05,88.3
2020-07-06,92.4
2020-07-07,92.2
2020-07-08,88.1
2020-07-09,87.1
2020-07-10,85.6
2020-07-11,80.3
2020-07-12,89.3
2020-07-13,98.3
2020-07-14,100.0
2020-07-15,99.6
2020-07-16,96.7
2020-07-17,99.8
2020-07-18,99.7
2020-07-19,97.0
2020-07-20,96.6
2020-07-21,97.6
2020-07-22,95.9
2020-07-23,92.8
2020-07-24,95.2
2020-07-25,98.9
2020-07-26,95.9
2020-07-27,94.5
2020-07-28,97.2
2020-07-29,95.6
2020-07-30,95.7
2020-07-31,98.2
2020-08-01,96.2
2020-08-02,96.7
2020-08-03,96.0
2020-08-04,96.0
2020-08-05,96.2
2020-08-06,96.7
2020-08-07,96.8
2020-08-08,93.7
2020-08-09,95.3
2020-08-10,95.2
2020-08-11,95.6
2020-08-12,95.5
2020-08-13,94.3
2020-08-14,94.6
2020-08-15,93.6
2020-08-16,93.8
2020-08-17,93.4
2020-08-18,93.7
2020-08-19,95.0
2020-08-20,93.6
2020-08-21,94.1
2020-08-22,94.9
2020-08-23,96.9
2020-08-24,97.2
2020-08-25,95.1
2020-08-26,95.8
2020-08-27,95.9
2020-08-28,95.7
2020-08-29,94.4
2020-08-30,96.5
2020-08-31,98.4
2020-09-01,99.1
2020-09-02,99.4
2020-09-03,99.4
2020-09-04,97.9
2020-09-05,92.9
2020-09-06,89.7
2020-09-07,87.7
2020-09-08,78.8
2020-09-09,69.7
2020-09-10,69.4
2020-09-11,73.3
2020-09-12,77.7
2020-09-13,77.8
2020-09-14,78.8
2020-09-15,80.4
2020-09-16,83.7
2020-09-17,85.6
2020-09-18,90.3
2020-09-19,85.6
2020-09-20,96.1
2020-09-21,82.4
2020-09-22,79.2
2020-09-23,82.7
2020-09-24,87.5
2020-09-25,88.9
2020-09-26,90.4
2020-09-27,94.1
2020-09-28,97.8
2020-09-29,97.4
2020-09-30,99.0
2020-10-01,99.5
2020-10-02,98.8
2020-10-03,96.5
2020-10-04,90.5
2020-10-05,90.5
2020-10-06,91.3
2020-10-07,91.6
2020-10-08,89.5
2020-10-09,92.0
2020-10-10,91.2
2020-10-11,95.0
2020-10-12,93.5
2020-10-13,93.2
2020-10-14,93.6
2020-10-15,94.6
2020-10-16,97.3
2020-10-17,97.4
2020-10-18,97.5
2020-10-19,96.1
2020-10-20,99.2
2020-10-21,99.1
2020-10-22,92.4
2020-10-23,92.9
2020-10-24,91.8
2020-10-25,90.9
2020-10-26,94.2
2020-10-27,95.4
2020-10-28,92.6
2020-10-29,94.1
2020-10-30,92.5
2020-10-31,94.3
2020-11-01,89.2
2020-11-02,84.2
2020-11-03,82.2
2020-11-04,81.2
2020-11-05,82.2
2020-11-06,87.8
2020-11-07,92.4
2020-11-08,96.4
2020-11-09,93.1
2020-11-10,97.4
2020-11-11,90.5
2020-11-12,89.4
2020-11-13,92.8
2020-11-14,92.8
2020-11-15,89.3
2020-11-16,88.9
2020-11-17,88.6
2020-11-18,90.0
2020-11-19,91.7
2020-11-20,90.8
2020-11-21,91.0
2020-11-22,92.0
2020-11-23,91.8
2020-11-24,95.6
2020-11-25,93.6
2020-11-26,92.0
2020-11-27,94.4
2020-11-28,96.0
2020-11-29,97.2
2020-11-30,94.9
2020-12-01,93.5
2020-12-02,92.8
2020-12-03,96.3
2020-12-04,97.5
2020-12-05,90.4
2020-12-06,93.0
2020-12-07,96.6
2020-12-08,93.2
2020-12-09,98.0
2020-12-10,94.2
2020-12-11,89.9
2020-12-12,91.3
2020-12-13,92.9
2020-12-14,93.1
2020-12-15,94.4
2020-12-16,97.6
2020-12-17,97.6
2020-12-18,93.1
2020-12-19,98.8
2020-12-20,96.7
2020-12-21,94.4
2020-12-22,88.5
2020-12-23,86.1
2020-12-24,90.9
2020-12-25,91.2
2020-12-26,93.3
2020-12-27,98.2
2020-12-28,97.4
2020-12-29,98.1
2020-12-30,98.5
2020-12-31,99.0
2021-01-01,97.7
2021-01-02,96.9
2021-01-03,95.1
2021-01-04,96.0
2021-01-05,96.4
2021-01-06,96.1
2021-01-07,94.1
2021-01-08,94.4
2021-01-09,95.6
2021-01-10,98.2
2021-01-11,97.4
2021-01-12,97.8
2021-01-13,94.0
2021-01-14,90.0
2021-01-15,94.8
2021-01-16,95.8
2021-01-17,97.1
2021-01-18,96.6
2021-01-19,95.3
2021-01-20,93.4
2021-01-21,94.9
2021-01-22,95.8
2021-01-23,93.3
2021-01-24,94.5
2021-01-25,98.2
2021-01-26,96.0
2021-01-27,93.3
2021-01-28,95.6
2021-01-29,95.1
2021-01-30,95.5
2021-01-31,94.9
2021-02-01,91.6
2021-02-02,92.5
2021-02-03,94.5
2021-02-04,94.1
2021-02-05,95.0
2021-02-06,92.9
2021-02-07,95.2
2021-02-08,90.0
2021-02-09,93.0
2021-02-10,92.4
2021-02-11,91.9
2021-02-12,90.3
2021-02-13,89.5
2021-02-14,94.3
2021-02-15,89.8
2021-02-16,89.4
2021-02-17,93.6
2021-02-18,92.8
2021-02-19,89.6
2021-02-20,88.5
2021-02-21,94.0
2021-02-22,94.5
2021-02-23,90.1
2021-02-24,89.3
2021-02-25,89.9
2021-02-26,97.1
2021-02-27,94.1
2021-02-28,89.0
2021-03-01,89.7
2021-03-02,92.0
2021-03-03,93.9
2021-03-04,97.4
2021-03-05,95.7
2021-03-06,92.2
2021-03-07,88.4
2021-03-08,88.4
2021-03-09,90.0
2021-03-10,92.0
2021-03-11,89.3
2021-03-12,88.6
2021-03-13,94.9
2021-03-14,93.7
2021-03-15,93.8
2021-03-16,88.9
2021-03-17,87.1
2021-03-18,84.8
2021-03-19,84.4
2021-03-20,87.7
2021-03-21,90.1
2021-03-22,89.3
2021-03-23,94.7
2021-03-24,92.2
2021-03-25,92.0
2021-03-26,83.5
2021-03-27,83.9
2021-03-28,85.3
2021-03-29,89.6
2021-03-30,88.0
2021-03-31,87.2
2021-04-01,91.1
2021-04-02,91.1
2021-04-03,92.6
2021-04-04,93.4
2021-04-05,94.2
2021-04-06,94.1
2021-04-07,92.5
2021-04-08,87.2
2021-04-09,88.4
2021-04-10,88.9
2021-04-11,89.7
2021-04-12,89.7
2021-04-13,94.5
2021-04-14,98.2
2021-04-15,93.6
2021-04-16,94.0
2021-04-17,95.8
2021-04-18,91.7
2021-04-19,91.3
2021-04-20,92.4
2021-04-21,92.9
2021-04-22,94.7
2021-04-23,98.5
2021-04-24,99.8
2021-04-25,99.6
2021-04-26,97.0
2021-04-27,93.9
2021-04-28,96.3
2021-04-29,96.5
2021-04-30,92.0
2021-05-01,92.0
2021-05-02,96.3
2021-05-03,98.1
2021-05-04,98.1
2021-05-05,97.6
2021-05-06,97.9
2021-05-07,94.4
2021-05-08,93.2
2021-05-09,93.6
2021-05-10,91.3
2021-05-11,88.6
2021-05-12,89.0
2021-05-13,87.8
2021-05-14,89.4
2021-05-15,94.9
2021-05-16,94.4
2021-05-17,81.7
2021-05-18,78.4
2021-05-19,78.3
2021-05-20,66.1
2021-05-21,85.9
2021-05-22,67.8
2021-05-23,66.8
2021-05-24,79.3
2021-05-25,87.3
2021-05-26,86.1
2021-05-27,86.4
2021-05-28,87.1
2021-05-29,88.0
2021-05-30,90.7
2021-05-31,89.4
2021-06-01,91.3
2021-06-02,93.3
2021-06-03,90.5
2021-06-04,89.2
2021-06-05,92.2
2021-06-06,91.5
2021-06-07,92.1
